line_id,transaction_id,datetime,shop_id,product_id,quantity,price,cost
L0014161,T007939,2024-01-01 16:39:00,S001,P003,1,150,60
L0014162,T007939,2024-01-01 16:39:00,S001,P037,1,90,30
L0014163,T007939,2024-01-01 16:39:00,S001,P058,1,145,80
L0011579,T006522,2024-01-01 19:07:00,S001,P038,1,115,30
L0013825,T007762,2024-01-01 19:07:45,S001,P049,1,175,45
L0025819,T014417,2024-01-01 19:10:45,S003,P065,1,165,140
L0025820,T014417,2024-01-01 19:10:45,S003,P063,1,225,175
L0005978,T003378,2024-01-01 19:34:00,S001,P017,1,175,75
L0005979,T003378,2024-01-01 19:34:00,S001,P070,1,335,225
L0005980,T003378,2024-01-01 19:34:00,S001,P027,1,285,120
L0021834,T012183,2024-01-02 08:04:00,S001,P010,2,205,80
L0009250,T005246,2024-01-02 08:38:45,S002,P037,1,90,30
L0010306,T005828,2024-01-02 09:03:00,S001,P010,1,205,70
L0010307,T005828,2024-01-02 09:03:00,S001,P070,1,335,215
L0032714,T018220,2024-01-02 09:26:30,S002,P006,1,155,60
L0032715,T018220,2024-01-02 09:26:30,S002,P061,1,95,55
L0032716,T018220,2024-01-02 09:26:30,S002,P046,1,135,50
L0011309,T006370,2024-01-02 09:36:45,S002,P026,1,235,100
L0011310,T006370,2024-01-02 09:36:45,S002,P067,1,185,105
L0028643,T015958,2024-01-02 09:55:00,S002,P034,1,240,95
L0003663,T002097,2024-01-02 10:11:30,S001,P023,1,300,125
L0003664,T002097,2024-01-02 10:11:30,S001,P068,1,295,170
L0023619,T013182,2024-01-02 12:22:00,S001,P060,1,255,135
L0023620,T013182,2024-01-02 12:22:00,S001,P040,1,180,40
L0023621,T013182,2024-01-02 12:22:00,S001,P061,1,95,55
L0009619,T005454,2024-01-02 12:27:45,S002,P051,1,275,105
L0009620,T005454,2024-01-02 12:27:45,S002,P067,1,185,100
L0013347,T007498,2024-01-02 12:41:00,S001,P068,1,295,170
L0013348,T007498,2024-01-02 12:41:00,S001,P069,1,315,205
L0013349,T007498,2024-01-02 12:41:00,S001,P070,1,335,205
L0004811,T002733,2024-01-02 13:47:00,S003,P023,2,300,170
L0004812,T002733,2024-01-02 13:47:00,S003,P070,2,335,300
L0012774,T007186,2024-01-02 14:18:00,S003,P023,1,300,170
L0025825,T014421,2024-01-02 14:26:00,S002,P013,1,170,75
L0025826,T014421,2024-01-02 14:26:00,S002,P047,1,165,60
L0025827,T014421,2024-01-02 14:26:00,S002,P042,1,125,45
L0025828,T014421,2024-01-02 14:26:00,S002,P059,1,245,135
L0031313,T017441,2024-01-02 16:15:45,S003,P033,1,185,110
L0031314,T017441,2024-01-02 16:15:45,S003,P039,1,140,70
L0031315,T017441,2024-01-02 16:15:45,S003,P065,3,165,140
L0031316,T017441,2024-01-02 16:15:45,S003,P015,1,260,150
L0026630,T014859,2024-01-02 16:21:30,S001,P002,1,125,50
L0016497,T009223,2024-01-02 16:53:30,S003,P068,1,295,280
L0025660,T014328,2024-01-02 17:57:45,S001,P059,1,245,140
L0002885,T001659,2024-01-02 19:14:45,S001,P018,1,225,75
L0005056,T002868,2024-01-02 19:56:00,S001,P002,1,125,50
L0005057,T002868,2024-01-02 19:56:00,S001,P066,1,125,75
L0017647,T009860,2024-01-02 20:57:45,S001,P071,1,325,195
L0007181,T004080,2024-01-03 08:01:15,S003,P011,1,250,130
L0008059,T004567,2024-01-03 08:49:15,S002,P003,1,150,65
L0008060,T004567,2024-01-03 08:49:15,S002,P064,1,135,80
L0008061,T004567,2024-01-03 08:49:15,S002,P059,1,245,140
L0010137,T005740,2024-01-03 08:56:00,S002,P019,1,275,120
L0022775,T012720,2024-01-03 08:58:00,S002,P007,1,190,75
L0026557,T014821,2024-01-03 09:10:00,S001,P020,1,355,110
L0026558,T014821,2024-01-03 09:10:00,S001,P064,3,135,70
L0003388,T001937,2024-01-03 09:42:45,S002,P010,1,205,80
L0013084,T007352,2024-01-03 10:17:00,S001,P060,1,255,135
L0013085,T007352,2024-01-03 10:17:00,S001,P037,2,90,30
L0027843,T015536,2024-01-03 10:59:45,S001,P002,1,125,40
L0027844,T015536,2024-01-03 10:59:45,S001,P014,2,215,85
L0018277,T010205,2024-01-03 12:38:00,S002,P068,1,295,200
L0024147,T013465,2024-01-03 12:51:30,S002,P070,2,335,230
L0024148,T013465,2024-01-03 12:51:30,S002,P071,1,325,215
L0033389,T018590,2024-01-03 13:06:45,S001,P012,1,325,110
L0033390,T018590,2024-01-03 13:06:45,S001,P069,1,315,190
L0026445,T014761,2024-01-03 13:35:00,S001,P067,1,185,95
L0026446,T014761,2024-01-03 13:35:00,S001,P030,1,220,95
L0026447,T014761,2024-01-03 13:35:00,S001,P066,1,125,70
L0027576,T015394,2024-01-03 16:19:45,S002,P067,1,185,100
L0027577,T015394,2024-01-03 16:19:45,S002,P018,1,225,95
L0033684,T018755,2024-01-03 16:39:00,S002,P051,1,275,80
L0033685,T018755,2024-01-03 16:39:00,S002,P019,1,275,120
L0008214,T004657,2024-01-03 17:27:00,S002,P007,1,190,85
L0008215,T004657,2024-01-03 17:27:00,S002,P006,2,155,60
L0003590,T002055,2024-01-03 17:29:15,S001,P003,1,150,55
L0022668,T012659,2024-01-03 18:12:15,S001,P037,1,90,25
L0022669,T012659,2024-01-03 18:12:15,S001,P059,1,245,135
L0016664,T009317,2024-01-03 19:32:30,S001,P041,1,100,30
L0028556,T015910,2024-01-04 08:03:00,S002,P002,1,125,50
L0018227,T010178,2024-01-04 08:06:00,S003,P010,1,205,105
L0018228,T010178,2024-01-04 08:06:00,S003,P009,1,160,80
L0018229,T010178,2024-01-04 08:06:00,S003,P060,1,255,220
L0022435,T012532,2024-01-04 08:17:00,S002,P022,1,245,105
L0009656,T005475,2024-01-04 08:44:15,S001,P020,1,355,125
L0029108,T016219,2024-01-04 08:52:00,S002,P061,1,95,60
L0009886,T005606,2024-01-04 09:09:00,S001,P021,1,190,80
L0016505,T009229,2024-01-04 09:29:45,S001,P005,1,120,45
L0016506,T009229,2024-01-04 09:29:45,S001,P064,1,135,70
L0001645,T000939,2024-01-04 09:39:00,S002,P005,1,120,50
L0001646,T000939,2024-01-04 09:39:00,S002,P062,1,175,90
L0011800,T006646,2024-01-04 09:53:15,S001,P051,1,275,95
L0011801,T006646,2024-01-04 09:53:15,S001,P064,1,135,70
L0011802,T006646,2024-01-04 09:53:15,S001,P054,1,165,50
L0015449,T008625,2024-01-04 10:03:00,S003,P018,1,225,120
L0015450,T008625,2024-01-04 10:03:00,S003,P010,2,205,100
L0006136,T003471,2024-01-04 10:08:45,S001,P054,1,165,55
L0006137,T003471,2024-01-04 10:08:45,S001,P060,1,255,135
L0026408,T014741,2024-01-04 10:46:15,S002,P002,1,125,55
L0026409,T014741,2024-01-04 10:46:15,S002,P064,1,135,85
L0010284,T005817,2024-01-04 12:21:15,S001,P001,1,100,35
L0035856,T019963,2024-01-04 12:28:00,S001,P019,1,275,115
L0035857,T019963,2024-01-04 12:28:00,S001,P037,1,90,25
L0032439,T018074,2024-01-04 12:42:30,S001,P005,1,120,40
L0032440,T018074,2024-01-04 12:42:30,S001,P063,1,225,110
L0032441,T018074,2024-01-04 12:42:30,S001,P067,1,185,105
L0033459,T018629,2024-01-04 13:09:45,S002,P014,1,215,85
L0029266,T016303,2024-01-04 13:34:45,S002,P007,1,190,70
L0029267,T016303,2024-01-04 13:34:45,S002,P046,1,135,45
L0006891,T003920,2024-01-04 14:06:00,S002,P014,1,215,80
L0006162,T003485,2024-01-04 16:29:00,S002,P009,1,160,60
L0003127,T001793,2024-01-04 16:42:30,S002,P012,1,325,120
L0027600,T015408,2024-01-04 16:52:00,S002,P033,1,185,80
L0027601,T015408,2024-01-04 16:52:00,S002,P071,1,325,210
L0032372,T018035,2024-01-04 16:55:15,S002,P007,1,190,75
L0032373,T018035,2024-01-04 16:55:15,S002,P057,2,155,85
L0032374,T018035,2024-01-04 16:55:15,S002,P047,1,165,60
L0032375,T018035,2024-01-04 16:55:15,S002,P064,1,135,80
L0018731,T010448,2024-01-04 17:10:15,S001,P058,1,145,80
L0012982,T007300,2024-01-04 17:20:30,S002,P020,1,355,125
L0012983,T007300,2024-01-04 17:20:30,S002,P007,1,190,85
L0019552,T010896,2024-01-04 17:28:00,S002,P010,1,205,95
L0019553,T010896,2024-01-04 17:28:00,S002,P060,1,255,140
L0017829,T009963,2024-01-05 08:27:00,S002,P018,1,225,90
L0003265,T001869,2024-01-05 08:44:00,S002,P072,1,355,250
L0003266,T001869,2024-01-05 08:44:00,S002,P057,1,155,85
L0000674,T000396,2024-01-05 09:10:15,S002,P026,1,235,100
L0000675,T000396,2024-01-05 09:10:15,S002,P044,1,200,65
L0013581,T007626,2024-01-05 09:25:45,S002,P013,2,170,60
L0013582,T007626,2024-01-05 09:25:45,S002,P019,1,275,115
L0013583,T007626,2024-01-05 09:25:45,S002,P061,2,95,55
L0024955,T013930,2024-01-05 10:11:30,S003,P065,1,165,140
L0030024,T016734,2024-01-05 10:30:45,S001,P066,1,125,75
L0030025,T016734,2024-01-05 10:30:45,S001,P071,1,325,190
L0020678,T011529,2024-01-05 11:33:00,S001,P010,2,205,75
L0020679,T011529,2024-01-05 11:33:00,S001,P068,2,295,180
L0007736,T004387,2024-01-05 12:06:00,S003,P026,1,235,135
L0007737,T004387,2024-01-05 12:06:00,S003,P063,1,225,175
L0032215,T017948,2024-01-05 12:31:00,S002,P002,1,125,55
L0032216,T017948,2024-01-05 12:31:00,S002,P003,1,150,60
L0010687,T006026,2024-01-05 12:33:00,S003,P072,1,355,310
L0010688,T006026,2024-01-05 12:33:00,S003,P022,1,245,130
L0010689,T006026,2024-01-05 12:33:00,S003,P071,2,325,285
L0000605,T000350,2024-01-05 12:46:00,S001,P058,1,145,75
L0000606,T000350,2024-01-05 12:46:00,S001,P010,1,205,75
L0000607,T000350,2024-01-05 12:46:00,S001,P013,1,170,65
L0009180,T005208,2024-01-05 12:52:00,S003,P054,1,165,80
L0027782,T015503,2024-01-05 13:43:45,S001,P007,1,190,65
L0027783,T015503,2024-01-05 13:43:45,S001,P006,1,155,60
L0027784,T015503,2024-01-05 13:43:45,S001,P066,1,125,70
L0011650,T006564,2024-01-05 13:50:00,S002,P002,1,125,55
L0030913,T017211,2024-01-05 14:28:00,S001,P018,1,225,90
L0016929,T009460,2024-01-05 15:04:30,S002,P062,1,175,105
L0016930,T009460,2024-01-05 15:04:30,S002,P014,1,215,95
L0011449,T006453,2024-01-05 15:23:00,S001,P015,1,260,95
L0011450,T006453,2024-01-05 15:23:00,S001,P024,2,385,120
L0026825,T014959,2024-01-05 15:47:00,S001,P035,1,295,115
L0010227,T005788,2024-01-05 16:50:00,S001,P057,1,155,75
L0031031,T017279,2024-01-05 16:59:15,S001,P026,1,235,85
L0004368,T002481,2024-01-05 17:18:00,S003,P010,1,205,110
L0005182,T002936,2024-01-05 17:28:15,S001,P065,2,165,95
L0008957,T005082,2024-01-05 18:01:15,S001,P066,1,125,65
L0008958,T005082,2024-01-05 18:01:15,S001,P058,1,145,70
L0004459,T002537,2024-01-05 18:13:30,S001,P070,1,335,200
L0002186,T001268,2024-01-05 18:22:30,S003,P072,1,355,325
L0010498,T005924,2024-01-05 18:29:30,S002,P027,1,285,120
L0002131,T001234,2024-01-06 08:39:15,S001,P038,1,115,30
L0007097,T004034,2024-01-06 09:19:00,S002,P058,1,145,80
L0007098,T004034,2024-01-06 09:19:00,S002,P062,1,175,105
L0029564,T016468,2024-01-06 09:21:00,S002,P022,1,245,110
L0031078,T017305,2024-01-06 09:38:00,S002,P049,3,175,60
L0002568,T001489,2024-01-06 11:19:00,S002,P039,1,140,55
L0002569,T001489,2024-01-06 11:19:00,S002,P026,1,235,90
L0002570,T001489,2024-01-06 11:19:00,S002,P071,1,325,200
L0014159,T007938,2024-01-06 11:59:15,S002,P019,1,275,100
L0014160,T007938,2024-01-06 11:59:15,S002,P071,1,325,230
L0014586,T008164,2024-01-06 12:34:30,S002,P072,1,355,235
L0014587,T008164,2024-01-06 12:34:30,S002,P014,1,215,85
L0014588,T008164,2024-01-06 12:34:30,S002,P069,1,315,200
L0013775,T007732,2024-01-06 14:49:00,S003,P069,2,315,290
L0013776,T007732,2024-01-06 14:49:00,S003,P021,1,190,100
L0028901,T016106,2024-01-06 15:09:00,S001,P026,1,235,85
L0000012,T000008,2024-01-06 19:07:45,S003,P038,1,115,55
L0022232,T012406,2024-01-06 19:16:15,S003,P062,1,175,145
L0022233,T012406,2024-01-06 19:16:15,S003,P064,2,135,115
L0013931,T007818,2024-01-06 19:29:00,S003,P037,1,90,40
L0017906,T010007,2024-01-07 08:06:30,S001,P014,1,215,70
L0017907,T010007,2024-01-07 08:06:30,S001,P063,1,225,120
L0027466,T015329,2024-01-07 08:09:00,S001,P001,1,100,40
L0027467,T015329,2024-01-07 08:09:00,S001,P067,1,185,90
L0021897,T012222,2024-01-07 08:42:30,S003,P006,1,155,85
L0021208,T011828,2024-01-07 09:08:15,S001,P041,1,100,35
L0021209,T011828,2024-01-07 09:08:15,S001,P060,1,255,150
L0021210,T011828,2024-01-07 09:08:15,S001,P064,1,135,75
L0031828,T017725,2024-01-07 09:10:15,S001,P013,1,170,60
L0020552,T011456,2024-01-07 09:25:00,S001,P060,1,255,140
L0020553,T011456,2024-01-07 09:25:00,S001,P007,1,190,75
L0012381,T006968,2024-01-07 09:36:30,S001,P037,1,90,25
L0012382,T006968,2024-01-07 09:36:30,S001,P060,1,255,150
L0023011,T012851,2024-01-07 10:57:15,S001,P022,1,245,85
L0004391,T002496,2024-01-07 12:12:00,S001,P045,1,105,30
L0033629,T018726,2024-01-07 12:27:15,S002,P021,1,190,70
L0033630,T018726,2024-01-07 12:27:15,S002,P061,1,95,55
L0004027,T002289,2024-01-07 12:29:30,S001,P014,1,215,75
L0031404,T017493,2024-01-07 14:36:00,S001,P028,1,370,135
L0031405,T017493,2024-01-07 14:36:00,S001,P071,1,325,200
L0031406,T017493,2024-01-07 14:36:00,S001,P021,3,190,75
L0001062,T000612,2024-01-07 14:59:00,S002,P016,1,340,130
L0001063,T000612,2024-01-07 14:59:00,S002,P014,1,215,80
L0009582,T005435,2024-01-07 15:37:00,S003,P045,1,105,45
L0016721,T009348,2024-01-07 16:05:00,S001,P064,1,135,70
L0009119,T005171,2024-01-07 16:41:15,S001,P011,1,250,85
L0009120,T005171,2024-01-07 16:41:15,S001,P061,1,95,55
L0022591,T012616,2024-01-07 16:45:00,S002,P015,1,260,100
L0009561,T005423,2024-01-07 16:45:15,S001,P037,1,90,30
L0007499,T004259,2024-01-07 16:46:00,S003,P026,1,235,130
L0016910,T009448,2024-01-07 16:50:00,S001,P067,1,185,105
L0016911,T009448,2024-01-07 16:50:00,S001,P058,1,145,70
L0016912,T009448,2024-01-07 16:50:00,S001,P065,3,165,80
L0017518,T009786,2024-01-07 17:15:45,S002,P013,1,170,65
L0007981,T004528,2024-01-07 19:21:30,S001,P014,1,215,70
L0034612,T019270,2024-01-07 19:32:00,S003,P022,1,245,120
L0034613,T019270,2024-01-07 19:32:00,S003,P071,1,325,285
L0020807,T011598,2024-01-07 19:57:00,S001,P023,1,300,110
L0020808,T011598,2024-01-07 19:57:00,S001,P011,2,250,90
L0010288,T005819,2024-01-08 08:08:45,S003,P011,1,250,140
L0010289,T005819,2024-01-08 08:08:45,S003,P060,1,255,215
L0030343,T016908,2024-01-08 08:35:15,S001,P057,1,155,85
L0030344,T016908,2024-01-08 08:35:15,S001,P063,1,225,115
L0011046,T006219,2024-01-08 08:36:00,S001,P038,1,115,40
L0011047,T006219,2024-01-08 08:36:00,S001,P060,1,255,130
L0011048,T006219,2024-01-08 08:36:00,S001,P068,2,295,175
L0004658,T002653,2024-01-08 08:36:15,S002,P033,1,185,90
L0004521,T002576,2024-01-08 08:43:15,S003,P042,1,125,60
L0023789,T013270,2024-01-08 08:50:00,S001,P006,1,155,50
L0023790,T013270,2024-01-08 08:50:00,S001,P066,1,125,65
L0023791,T013270,2024-01-08 08:50:00,S001,P059,1,245,120
L0023792,T013270,2024-01-08 08:50:00,S001,P057,1,155,80
L0023968,T013367,2024-01-08 09:17:00,S001,P060,1,255,130
L0023969,T013367,2024-01-08 09:17:00,S001,P057,1,155,90
L0019630,T010937,2024-01-08 09:23:00,S002,P022,1,245,105
L0019631,T010937,2024-01-08 09:23:00,S002,P068,1,295,200
L0019632,T010937,2024-01-08 09:23:00,S002,P057,2,155,85
L0019633,T010937,2024-01-08 09:23:00,S002,P006,1,155,60
L0008931,T005063,2024-01-08 09:27:45,S003,P042,1,125,55
L0024849,T013868,2024-01-08 10:02:00,S003,P007,1,190,95
L0026615,T014851,2024-01-08 11:44:30,S001,P027,1,285,110
L0026616,T014851,2024-01-08 11:44:30,S001,P060,1,255,130
L0028290,T015774,2024-01-08 12:04:00,S003,P042,1,125,55
L0028291,T015774,2024-01-08 12:04:00,S003,P061,1,95,80
L0019304,T010760,2024-01-08 12:06:45,S003,P068,2,295,260
L0019305,T010760,2024-01-08 12:06:45,S003,P071,1,325,305
L0026741,T014915,2024-01-08 12:19:30,S003,P072,1,355,340
L0015353,T008575,2024-01-08 12:25:00,S002,P051,1,275,90
L0015354,T008575,2024-01-08 12:25:00,S002,P068,3,295,200
L0015355,T008575,2024-01-08 12:25:00,S002,P069,1,315,195
L0015356,T008575,2024-01-08 12:25:00,S002,P011,1,250,100
L0022528,T012585,2024-01-08 12:47:00,S001,P065,1,165,90
L0022529,T012585,2024-01-08 12:47:00,S001,P010,1,205,80
L0034808,T019377,2024-01-08 12:55:00,S002,P015,1,260,120
L0034809,T019377,2024-01-08 12:55:00,S002,P048,2,215,75
L0034810,T019377,2024-01-08 12:55:00,S002,P059,1,245,135
L0034811,T019377,2024-01-08 12:55:00,S002,P049,2,175,60
L0019123,T010663,2024-01-08 13:02:00,S003,P069,1,315,290
L0019124,T010663,2024-01-08 13:02:00,S003,P068,1,295,265
L0021446,T011962,2024-01-08 13:35:00,S002,P005,1,120,45
L0031698,T017654,2024-01-08 13:45:00,S002,P029,1,170,80
L0031699,T017654,2024-01-08 13:45:00,S002,P062,1,175,100
L0007755,T004399,2024-01-08 14:08:00,S001,P001,1,100,35
L0035232,T019600,2024-01-08 14:10:15,S003,P007,1,190,95
L0009267,T005259,2024-01-08 14:15:15,S002,P018,1,225,85
L0021792,T012159,2024-01-08 14:17:30,S002,P059,2,245,130
L0021793,T012159,2024-01-08 14:17:30,S002,P060,2,255,140
L0021794,T012159,2024-01-08 14:17:30,S002,P069,1,315,195
L0032656,T018189,2024-01-08 14:42:00,S001,P010,1,205,70
L0022972,T012831,2024-01-08 17:32:15,S003,P021,1,190,95
L0022973,T012831,2024-01-08 17:32:15,S003,P043,1,150,75
L0001377,T000794,2024-01-08 17:33:15,S001,P010,1,205,85
L0023118,T012911,2024-01-08 17:47:15,S001,P059,1,245,135
L0023119,T012911,2024-01-08 17:47:15,S001,P031,1,270,105
L0023120,T012911,2024-01-08 17:47:15,S001,P026,1,235,95
L0024348,T013575,2024-01-08 17:50:15,S003,P039,1,140,70
L0024349,T013575,2024-01-08 17:50:15,S003,P045,1,105,55
L0022317,T012460,2024-01-08 18:43:45,S002,P002,1,125,55
L0009775,T005540,2024-01-08 19:09:00,S002,P039,1,140,45
L0014438,T008090,2024-01-08 19:25:00,S001,P060,1,255,135
L0013986,T007849,2024-01-08 19:39:30,S001,P018,1,225,90
L0013987,T007849,2024-01-08 19:39:30,S001,P003,1,150,60
L0023415,T013080,2024-01-08 19:54:00,S002,P070,1,335,235
L0023416,T013080,2024-01-08 19:54:00,S002,P055,1,200,70
L0028568,T015915,2024-01-09 08:15:30,S002,P022,1,245,90
L0028569,T015915,2024-01-09 08:15:30,S002,P066,1,125,70
L0028570,T015915,2024-01-09 08:15:30,S002,P060,1,255,155
L0001496,T000859,2024-01-09 08:24:30,S001,P006,1,155,55
L0014119,T007914,2024-01-09 08:29:30,S001,P018,1,225,75
L0008071,T004575,2024-01-09 08:30:00,S001,P002,1,125,50
L0000615,T000357,2024-01-09 08:49:00,S002,P040,1,180,50
L0000616,T000357,2024-01-09 08:49:00,S002,P064,2,135,80
L0000617,T000357,2024-01-09 08:49:00,S002,P006,1,155,65
L0000618,T000357,2024-01-09 08:49:00,S002,P059,1,245,150
L0019718,T010985,2024-01-09 09:15:15,S003,P042,1,125,60
L0019719,T010985,2024-01-09 09:15:15,S003,P061,2,95,75
L0009899,T005615,2024-01-09 09:50:45,S002,P060,1,255,155
L0009900,T005615,2024-01-09 09:50:45,S002,P046,1,135,50
L0009901,T005615,2024-01-09 09:50:45,S002,P026,1,235,85
L0009902,T005615,2024-01-09 09:50:45,S002,P062,1,175,105
L0025904,T014470,2024-01-09 09:55:00,S002,P007,1,190,90
L0025905,T014470,2024-01-09 09:55:00,S002,P064,1,135,75
L0033305,T018544,2024-01-09 11:42:15,S001,P069,1,315,210
L0033306,T018544,2024-01-09 11:42:15,S001,P042,1,125,35
L0033307,T018544,2024-01-09 11:42:15,S001,P070,1,335,200
L0013189,T007410,2024-01-09 12:01:00,S002,P069,2,315,205
L0017683,T009882,2024-01-09 12:12:30,S003,P072,1,355,315
L0017684,T009882,2024-01-09 12:12:30,S003,P013,1,170,85
L0030779,T017143,2024-01-09 12:22:00,S001,P018,1,225,80
L0030780,T017143,2024-01-09 12:22:00,S001,P068,2,295,175
L0030781,T017143,2024-01-09 12:22:00,S001,P071,1,325,210
L0030782,T017143,2024-01-09 12:22:00,S001,P069,1,315,210
L0034880,T019419,2024-01-09 13:19:45,S001,P037,1,90,25
L0034881,T019419,2024-01-09 13:19:45,S001,P027,1,285,120
L0034882,T019419,2024-01-09 13:19:45,S001,P070,1,335,225
L0005309,T003013,2024-01-09 13:50:00,S003,P068,1,295,265
L0005310,T003013,2024-01-09 13:50:00,S003,P026,1,235,130
L0004974,T002827,2024-01-09 13:59:00,S001,P068,1,295,185
L0010290,T005820,2024-01-09 14:08:30,S002,P016,1,340,145
L0010291,T005820,2024-01-09 14:08:30,S002,P039,1,140,45
L0010292,T005820,2024-01-09 14:08:30,S002,P004,1,200,75
L0006982,T003965,2024-01-09 15:06:00,S002,P018,2,225,85
L0006983,T003965,2024-01-09 15:06:00,S002,P048,1,215,70
L0033355,T018570,2024-01-09 15:15:15,S001,P067,2,185,105
L0033356,T018570,2024-01-09 15:15:15,S001,P058,1,145,80
L0026897,T014999,2024-01-09 15:42:00,S001,P029,1,170,65
L0034935,T019446,2024-01-09 16:47:00,S002,P021,1,190,80
L0034936,T019446,2024-01-09 16:47:00,S002,P057,1,155,85
L0034937,T019446,2024-01-09 16:47:00,S002,P026,2,235,100
L0034938,T019446,2024-01-09 16:47:00,S002,P066,1,125,70
L0007806,T004427,2024-01-09 16:48:00,S001,P005,1,120,40
L0008222,T004660,2024-01-09 16:57:30,S003,P018,1,225,120
L0026190,T014625,2024-01-09 17:36:00,S002,P057,1,155,95
L0026191,T014625,2024-01-09 17:36:00,S002,P013,1,170,70
L0009763,T005534,2024-01-09 18:35:30,S002,P043,1,150,50
L0009764,T005534,2024-01-09 18:35:30,S002,P005,1,120,45
L0029076,T016198,2024-01-09 18:40:15,S001,P070,1,335,200
L0006096,T003452,2024-01-09 18:49:30,S002,P008,1,245,95
L0006097,T003452,2024-01-09 18:49:30,S002,P009,1,160,75
L0006098,T003452,2024-01-09 18:49:30,S002,P039,1,140,45
L0006099,T003452,2024-01-09 18:49:30,S002,P005,1,120,50
L0019475,T010848,2024-01-09 19:22:00,S002,P041,1,100,35
L0017927,T010020,2024-01-09 19:47:45,S003,P006,1,155,80
L0017928,T010020,2024-01-09 19:47:45,S003,P005,1,120,60
L0002893,T001664,2024-01-10 08:08:15,S002,P040,1,180,50
L0002894,T001664,2024-01-10 08:08:15,S002,P057,1,155,90
L0028353,T015805,2024-01-10 08:33:15,S003,P002,1,125,65
L0006377,T003608,2024-01-10 09:18:30,S001,P015,1,260,105
L0006378,T003608,2024-01-10 09:18:30,S001,P064,1,135,65
L0026531,T014809,2024-01-10 09:27:00,S001,P046,1,135,40
L0026532,T014809,2024-01-10 09:27:00,S001,P028,1,370,125
L0016578,T009273,2024-01-10 09:48:00,S002,P022,1,245,110
L0016579,T009273,2024-01-10 09:48:00,S002,P062,1,175,100
L0016580,T009273,2024-01-10 09:48:00,S002,P061,1,95,55
L0024853,T013872,2024-01-10 10:11:00,S002,P002,2,125,55
L0019752,T011004,2024-01-10 10:13:00,S001,P015,1,260,105
L0019753,T011004,2024-01-10 10:13:00,S001,P072,1,355,210
L0024481,T013654,2024-01-10 10:41:00,S003,P070,1,335,300
L0024482,T013654,2024-01-10 10:41:00,S003,P059,1,245,210
L0021610,T012055,2024-01-10 10:45:45,S003,P044,1,200,85
L0009254,T005249,2024-01-10 12:50:00,S003,P043,1,150,75
L0032282,T017986,2024-01-10 13:14:00,S001,P007,1,190,80
L0032283,T017986,2024-01-10 13:14:00,S001,P022,1,245,90
L0004273,T002430,2024-01-10 13:48:00,S001,P015,1,260,90
L0004274,T002430,2024-01-10 13:48:00,S001,P070,1,335,225
